ENS,Symbol
ENSG00000281192.1,AC018867.1
ENSG00000280514.1,AC142525.1
ENSG00000281359.1,AC104650.2
ENSG00000280544.1,AC107081.1
ENSG00000279533.1,AC009022.1
ENSG00000278939.1,AC242988.1
ENSG00000279335.1,AC009977.1
ENSG00000279471.1,AC008759.1
ENSG00000167774.2,NDUFA7
ENSG00000281267.1,AC110602.1
ENSG00000279131.1,AC069063.1
ENSG00000273603.1,KIR2DS1
ENSG00000280264.1,AC004158.1
ENSG00000279524.1,AC108925.1
ENSG00000281889.1,AC073072.1
ENSG00000268465.1,CTC-273B12.7
ENSG00000279538.1,AC004953.1
ENSG00000129824.15,RPS4Y1
ENSG00000275126.1,HIST1H4L
ENSG00000280260.1,AC017028.10
ENSG00000280116.1,AC231657.1
ENSG00000228144.2,RP11-745O10.4
ENSG00000269307.1,CTD-2278I10.6
ENSG00000279448.1,FKSG54
ENSG00000232948.1,DEFB130
ENSG00000233050.1,RP11-1236K1.1
ENSG00000281126.1,AC091180.1
ENSG00000256632.3,RP13-672B3.2
ENSG00000269590.1,CTD-2192J16.24
ENSG00000279238.1,AL138706.2
ENSG00000221962.4,TMEM14E
ENSG00000279973.1,BAGE5
ENSG00000281331.1,AC016753.2
ENSG00000274853.2,MRM1
ENSG00000281039.1,RP4-777O23.3
ENSG00000272897.5,RP1-309K20.6
ENSG00000280852.1,AC025048.1
ENSG00000268434.5,AC011530.4
ENSG00000196900.4,TEX43
ENSG00000268083.5,AC104534.3
ENSG00000255432.1,RP11-831H9.11
ENSG00000180389.6,ATP5EP2
ENSG00000265303.1,CTD-2510F5.6
ENSG00000255054.3,RP1-317E23.6
ENSG00000249141.1,RP11-514O12.4
ENSG00000279735.1,AC124312.1
ENSG00000280403.1,FKSG62
ENSG00000260851.6,RP11-403P17.5
ENSG00000178257.3,PRM3
ENSG00000279473.1,AC009065.4
ENSG00000268173.1,PIK3R2
ENSG00000262660.1,RP13-1032I1.10
ENSG00000256349.1,CTD-3074O7.11
ENSG00000277775.1,HIST1H3F
ENSG00000279229.1,AC019206.1
ENSG00000132698.13,RAB25
ENSG00000198692.9,EIF1AY
ENSG00000204366.3,ZBTB12
ENSG00000234852.2,ZBTB12
ENSG00000237900.2,ZBTB12
ENSG00000278588.1,HIST1H2BI
ENSG00000214511.3,HIGD1C
ENSG00000067048.16,DDX3Y
ENSG00000263620.1,RP11-599B13.6
ENSG00000267140.1,RP11-322E11.6
ENSG00000282246.1,RP11-295P9.13
ENSG00000276410.2,HIST1H2BB
ENSG00000267952.1,CTD-2207O23.12
ENSG00000226704.6,HSPA1L
ENSG00000111780.8,AL021546.6
ENSG00000267748.4,CTB-102L5.4
ENSG00000249209.2,AP000304.12
ENSG00000267314.1,AC104532.2
ENSG00000279392.1,AL158801.1
ENSG00000235156.4,TMEM30C
ENSG00000166930.6,MS4A5
ENSG00000251184.1,RP11-101E3.5
ENSG00000205549.8,C9orf92
ENSG00000272741.1,RP11-447L10.1
ENSG00000163263.6,C1orf189
ENSG00000149418.10,ST14
ENSG00000261427.6,CTD-2349B8.1
ENSG00000269469.1,CTD-3148I10.9
ENSG00000255767.1,RP13-512J5.1
ENSG00000113520.10,IL4
ENSG00000269026.2,AC003006.7
ENSG00000273088.1,RP11-201K10.3
ENSG00000250361.6,GYPB
ENSG00000259900.5,RP11-343C2.7
ENSG00000276612.3,CH507-9B2.4
ENSG00000186146.1,DEFB131
ENSG00000188800.5,TMCO2
ENSG00000227739.10,TUBB
ENSG00000273003.1,ARL2-SNX15
ENSG00000257355.1,CTD-2006C1.10
ENSG00000083307.10,GRHL2
ENSG00000262594.3,KRTAP9-9
ENSG00000282548.1,SEPT9
ENSG00000185523.6,SPATA45
ENSG00000275379.1,HIST1H3I
ENSG00000274443.4,C8orf89
ENSG00000104918.7,RETN
ENSG00000219435.4,TEX40
ENSG00000256100.1,AP000721.4
ENSG00000139574.8,NPFF
ENSG00000257065.1,RP3-468K18.5
ENSG00000250254.1,PTTG2
ENSG00000260170.1,RP11-96O20.4
ENSG00000277656.3,GSTT1
ENSG00000170890.13,PLA2G1B
ENSG00000261210.5,CLEC19A
ENSG00000275572.1,GRIFIN
ENSG00000276154.1,KIR2DS4
ENSG00000280778.1,CH17-270A2.2
ENSG00000189030.9,VHLL
ENSG00000255663.1,RP11-212D19.4
ENSG00000170236.14,USP50
ENSG00000250232.1,AF196779.12
ENSG00000267545.1,AC005779.2
ENSG00000268107.5,AC003005.4
ENSG00000122543.10,OCM
ENSG00000274618.1,HIST1H4F
ENSG00000274183.1,H2AFB1
ENSG00000185662.8,SMIM23
ENSG00000276430.2,FAM25C
ENSG00000277971.1,XXbac-B562F10.12
ENSG00000282612.1,TAS2R20
ENSG00000204683.10,C10orf113
ENSG00000266997.2,RP11-886H22.1
ENSG00000267318.1,RP11-178C3.1
ENSG00000171489.10,SPACA5
ENSG00000266728.5,AC015688.3
ENSG00000177752.14,YIPF7
ENSG00000267552.6,CTD-2528L19.4
ENSG00000214360.4,EFCAB9
ENSG00000267206.5,LCN6
ENSG00000261832.4,CLN3
ENSG00000096395.10,MLN
ENSG00000176009.3,ASCL3
ENSG00000169575.4,VPREB1
ENSG00000189090.7,FAM25G
ENSG00000273703.1,HIST1H2BM
ENSG00000279461.1,AC005480.1
ENSG00000282266.1,ATP9B
ENSG00000270249.1,RP11-514P8.7
ENSG00000114374.12,USP9Y
ENSG00000268361.1,L34079.2
ENSG00000274529.4,SEBOX
ENSG00000269547.1,CTC-360G5.8
ENSG00000228892.9,AGPAT1
ENSG00000236873.9,AGPAT1
ENSG00000204310.10,AGPAT1
ENSG00000272104.1,XXcos-LUCA11.5
ENSG00000268643.1,AC006486.9
ENSG00000280360.1,AC092159.1
ENSG00000092009.10,CMA1
ENSG00000253506.2,NACA2
ENSG00000169688.10,MT1B
ENSG00000268797.1,CTC-490E21.12
ENSG00000130656.4,HBZ
ENSG00000141977.9,CIB3
ENSG00000189099.11,PRSS48
ENSG00000167414.4,GNG8
ENSG00000169397.3,RNASE3
ENSG00000257411.1,RP11-603J24.9
ENSG00000263353.3,PPIAL4A
ENSG00000184276.2,DEFB108B
ENSG00000224398.7,CSNK2B
ENSG00000261130.5,RP11-1021N1.1
ENSG00000282074.1,RP11-1021N1.1
ENSG00000260286.3,C6orf229
ENSG00000124610.4,HIST1H1A
ENSG00000185681.12,MORN5
ENSG00000185758.7,CLDN24
ENSG00000279988.1,AL022578.1
ENSG00000249624.8,AP000295.9
ENSG00000255359.2,CCDC179
ENSG00000183395.4,PMCH
ENSG00000254462.1,TMX2-CTNND1
ENSG00000188124.2,OR2AG2
ENSG00000197123.9,ZNF679
ENSG00000278856.4,KIR3DL1
ENSG00000279986.1,AC234582.2
ENSG00000123569.8,H2BFWT
ENSG00000187475.5,HIST1H1T
ENSG00000169906.5,S100G
ENSG00000274405.4,SPAG11B
ENSG00000278272.1,HIST1H3C
ENSG00000183878.15,UTY
ENSG00000197416.4,FABP12
ENSG00000280113.1,AL357140.1
ENSG00000221867.8,MAGEA3
ENSG00000275049.1,AC011295.1
ENSG00000265818.1,EEF1E1-BLOC1S5
ENSG00000248710.1,RP11-432B6.3
ENSG00000276424.4,KIR3DL2
ENSG00000186471.12,AKAP14
ENSG00000120160.10,EQTN
ENSG00000182107.6,TMEM30B
ENSG00000215131.10,C16orf90
ENSG00000196748.9,CLPSL2
ENSG00000277745.1,H2AFB3
ENSG00000276368.1,HIST1H2AJ
ENSG00000171433.11,GLOD5
ENSG00000214265.11,SNURF
ENSG00000052344.15,PRSS8
ENSG00000168925.10,CTRB1
ENSG00000170948.3,MBD3L1
ENSG00000197172.10,MAGEA6
ENSG00000221989.2,OR2A2
ENSG00000262302.1,RP1-4G17.5
ENSG00000248235.6,AC037459.4
